,Open,High,Low,Close,Volume
9:31:00,221.0755,221.17,220.64,220.73,986771
9:32:00,220.8,221.8,220.71,221.78,161516
9:33:00,221.67,221.77,221.19,221.19,130556
9:34:00,221.24,221.36,220.8,220.84,127409
9:35:00,220.9701,221.07,220.33,220.44,152806
9:36:00,220.41,220.7353,220.36,220.36,140376
9:37:00,220.55,220.55,220.05,220.1799,135525
9:38:00,220.17,220.5,220.08,220.08,115519
9:39:00,220.14,220.3,219.83,219.9663,189432
9:40:00,219.97,220.01,219.56,219.6,138238
9:41:00,219.56,219.85,219.55,219.68,132052
9:42:00,219.7,220.27,219.7,220.05,175188
9:43:00,220.04,220.2611,219.78,220.2611,110390
9:44:00,220.148,220.22,219.8,219.84,91190
9:45:00,219.8,219.9,219.48,219.78,123057
9:46:00,219.77,220.0592,219.67,219.67,122849
9:47:00,219.73,220.29,219.72,220.21,143807
9:48:00,220.125,220.415,219.97,220.37,112263
9:49:00,220.29,220.29,219.91,220.14,119805
9:50:00,220.12,220.17,219.59,219.83,115265
9:51:00,219.75,219.8505,219.5,219.5271,143357
9:52:00,219.57,219.73,219.43,219.7,102020
9:53:00,219.69,219.74,219.5,219.7,104529
9:54:00,219.64,219.64,219.1669,219.39,133736
9:55:00,219.36,219.54,218.95,219.01,151500
9:56:00,219,219.06,218.83,218.8804,107665
9:57:00,218.89,219.494,218.75,219.33,189546
9:58:00,219.2903,219.67,219.2903,219.46,122977
9:59:00,219.45,219.6,219.42,219.45,70369
10:00:00,219.39,219.41,219.14,219.22,70024
10:01:00,219.1296,219.3,218.7772,218.79,114436
10:02:00,218.802,218.995,218.75,218.9234,112183
10:03:00,219,219.24,218.4,218.45,131379
10:04:00,218.45,218.67,218.4225,218.5125,102729
10:05:00,218.54,218.58,217.9,218.239,296497
10:06:00,218.2,218.55,218.17,218.24,143197
10:07:00,218.15,218.31,218.0868,218.26,97309
10:08:00,218.35,218.56,218.2101,218.4,107618
10:09:00,218.5,218.64,218.445,218.58,82555
10:10:00,218.6199,218.6199,218.36,218.47,83725
10:11:00,218.4,218.83,218.31,218.79,76306
10:12:00,218.8,218.83,218.65,218.82,82376
10:13:00,218.71,218.95,218.56,218.5911,121714
10:14:00,218.61,218.73,218.42,218.42,84661
10:15:00,218.35,218.65,218.06,218.07,122928
10:16:00,218.1,218.435,217.94,218.38,137802
10:17:00,218.21,218.27,218.091,218.22,66593
10:18:00,218.3,218.42,218.24,218.385,50939
10:19:00,218.3616,218.3616,218.07,218.0971,68649
10:20:00,218.02,218.09,217.72,217.99,107633
10:21:00,218.11,218.32,218.0808,218.14,72705
10:22:00,218.1,218.21,217.96,218.049,75334
10:23:00,218.09,218.51,218.07,218.43,74433
10:24:00,218.4,218.5493,218.29,218.48,67934
10:25:00,218.47,218.775,218.3961,218.7,72783
10:26:00,218.725,219,218.67,218.93,83056
10:27:00,218.92,219.325,218.92,219.325,91459
10:28:00,219.36,219.42,219.2128,219.2128,99099
10:29:00,219.2542,219.28,219.1,219.16,53109
10:30:00,219.15,219.3,219.08,219.08,40159
10:31:00,219.04,219.09,218.92,219.07,53483
10:32:00,219.1,219.41,219.1,219.41,57270
10:33:00,219.3736,219.45,219.28,219.39,51089
10:34:00,219.36,219.7138,219.36,219.62,89502
10:35:00,219.66,219.73,219.55,219.6506,105283
10:36:00,219.6327,219.92,219.6327,219.86,101842
10:37:00,219.87,220.02,219.76,220,122615
10:38:00,219.9875,219.9875,219.67,219.88,69796
10:39:00,219.85,219.85,219.6,219.72,78293
10:40:00,219.79,219.8888,219.6707,219.8888,36269
10:41:00,219.835,219.98,219.7167,219.7167,65144
10:42:00,219.72,219.8979,219.63,219.74,50673
10:43:00,219.74,219.78,219.52,219.6355,58879
10:44:00,219.78,219.78,219.43,219.43,53802
10:45:00,219.47,219.54,219.42,219.42,38073
10:46:00,219.42,219.42,219.2794,219.2794,76591
10:47:00,219.33,219.33,219.17,219.19,73400
10:48:00,219.2293,219.37,219.07,219.07,60275
10:49:00,219.11,219.11,218.75,218.75,114326
10:50:00,218.71,218.79,218.42,218.72,154331
10:51:00,218.73,218.73,218.569,218.5901,49055
10:52:00,218.5571,218.769,218.5571,218.75,69382
10:53:00,218.78,218.87,218.6786,218.7413,68080
10:54:00,218.75,218.93,218.72,218.72,78373
10:55:00,218.73,219.0497,218.73,218.8452,67140
10:56:00,218.89,219.19,218.89,219.11,73780
10:57:00,219.1,219.3,219.1,219.13,82614
10:58:00,219.22,219.2784,219.2146,219.2784,34718
10:59:00,219.23,219.23,219.0659,219.0659,44899
11:00:00,219.09,219.1756,219.07,219.1756,48483
11:01:00,219.25,219.34,219.205,219.32,50590
11:02:00,219.23,219.2895,219.1977,219.23,27248
11:03:00,219.2728,219.2728,219.15,219.15,51729
11:04:00,219.16,219.28,218.78,218.8,107584
11:05:00,218.76,218.81,218.63,218.74,68448
11:06:00,218.73,219.1302,218.73,219.06,71713
11:07:00,219.13,219.29,219.13,219.29,47619
11:08:00,219.295,219.45,219.295,219.4,70445
11:09:00,219.38,219.55,219.33,219.53,65288
11:10:00,219.46,219.52,219.42,219.435,48687
11:11:00,219.41,219.47,219.34,219.47,31811
11:12:00,219.4045,219.45,219.31,219.41,30382
11:13:00,219.42,219.7899,219.42,219.769,89714
11:14:00,219.75,220.02,219.75,220,140526
11:15:00,220.03,220.03,219.6327,219.6327,92464
11:16:00,219.7,219.82,219.68,219.7742,37226
11:17:00,219.76,219.92,219.72,219.72,47503
11:18:00,219.7,219.7,219.55,219.61,64540
11:19:00,219.63,219.72,219.3,219.3,47258
11:20:00,219.33,219.44,219.28,219.28,37414
11:21:00,219.305,219.465,219.305,219.425,32755
11:22:00,219.47,219.58,219.47,219.5,43741
11:23:00,219.49,219.53,219.43,219.48,63142
11:24:00,219.45,219.45,219.22,219.34,42062
11:25:00,219.38,219.44,219.2947,219.44,42653
11:26:00,219.44,219.44,219.05,219.28,92107
11:27:00,219.25,219.72,219.25,219.72,75875
11:28:00,219.74,219.9,219.68,219.8388,106729
11:29:00,219.8356,219.94,219.78,219.94,54495
11:30:00,219.89,220.0301,219.81,219.81,84952
11:31:00,219.88,219.98,219.88,219.97,42133
11:32:00,219.91,219.91,219.7602,219.81,48177
11:33:00,219.815,219.83,219.48,219.5,70646
11:34:00,219.53,219.5891,219.45,219.45,41135
11:35:00,219.43,219.45,219.3,219.35,44616
11:36:00,219.4053,219.4053,219.26,219.3,45334
11:37:00,219.27,219.27,219.14,219.2435,70194
11:38:00,219.255,219.44,219.25,219.34,70430
11:39:00,219.3059,219.35,219.245,219.3,61211
11:40:00,219.32,219.45,219.2301,219.2301,54089
11:41:00,219.28,219.38,219.23,219.2641,66644
11:42:00,219.23,219.34,219.23,219.3,40980
11:43:00,219.34,219.375,218.99,219.2,101201
11:44:00,219.2624,219.33,219.07,219.22,61707
11:45:00,219.16,219.23,219.1,219.23,25031
11:46:00,219.17,219.25,218.99,219.09,60067
11:47:00,219.08,219.21,218.91,218.92,63942
11:48:00,218.8772,218.8772,218.66,218.66,57238
11:49:00,218.69,218.8,218.63,218.63,51162
11:50:00,218.62,218.78,218.62,218.72,38456
11:51:00,218.732,218.86,218.732,218.82,37612
11:52:00,218.82,218.82,218.57,218.57,54303
11:53:00,218.55,218.55,218.11,218.2768,116391
11:54:00,218.27,218.4095,218.15,218.27,49919
11:55:00,218.28,218.34,218.0199,218.0199,73046
11:56:00,218.04,218.22,218,218.07,109811
11:57:00,218.07,218.26,218.02,218.02,81514
11:58:00,218.0301,218.2011,217.91,217.9633,86614
11:59:00,217.99,218.17,217.9377,218.0419,56757
12:00:00,218.01,218.16,217.87,218.11,57242
12:01:00,218.1,218.1,217.82,217.92,70851
12:02:00,217.89,217.91,217.76,217.7637,52352
12:03:00,217.77,218,217.5,217.73,146638
12:04:00,217.7,217.95,217.68,217.8199,69538
12:05:00,217.81,217.99,217.73,217.98,61467
12:06:00,218,218,217.91,218,56690
12:07:00,218,218,217.79,217.98,68220
12:08:00,217.9793,218.181,217.9,218.1124,59416
12:09:00,218.04,218.19,218.04,218.1271,30961
12:10:00,218.13,218.13,217.8,217.8594,47543
12:11:00,217.81,217.88,217.74,217.88,35986
12:12:00,217.895,217.895,217.67,217.7118,41367
12:13:00,217.71,217.7668,217.6231,217.69,54875
12:14:00,217.72,217.72,217.28,217.54,89680
12:15:00,217.5244,217.7041,217.5,217.66,43585
12:16:00,217.63,218,217.53,217.881,99345
12:17:00,217.92,218.02,217.85,217.91,47136
12:18:00,217.9596,218.13,217.94,218.08,49274
12:19:00,218.02,218.06,217.96,217.99,52811
12:20:00,218.0225,218.104,217.96,217.96,32640
12:21:00,217.96,218.01,217.83,217.96,35907
12:22:00,217.95,218.13,217.93,218.04,24573
12:23:00,218.06,218.24,218.06,218.14,49514
12:24:00,218.13,218.34,218.13,218.26,45884
12:25:00,218.31,218.48,218.31,218.4121,43980
12:26:00,218.42,218.44,218.22,218.3172,51500
12:27:00,218.26,218.345,218.2,218.345,28649
12:28:00,218.34,218.5,218.31,218.5,47525
12:29:00,218.5,218.51,218.35,218.39,42125
12:30:00,218.4229,218.55,218.39,218.52,29023
12:31:00,218.55,218.64,218.46,218.4904,52123
12:32:00,218.4868,218.4868,218.269,218.3,38255
12:33:00,218.29,218.57,218.27,218.49,37858
12:34:00,218.58,218.69,218.58,218.63,52090
12:35:00,218.63,218.87,218.595,218.79,55273
12:36:00,218.76,218.77,218.6415,218.77,28517
12:37:00,218.8,218.86,218.73,218.73,30110
12:38:00,218.72,218.74,218.57,218.57,38373
12:39:00,218.59,218.65,218.47,218.47,50655
12:40:00,218.49,218.6417,218.49,218.53,30363
12:41:00,218.54,218.55,218.32,218.32,53358
12:42:00,218.27,218.28,218.2055,218.2055,29137
12:43:00,218.17,218.34,218.16,218.255,29335
12:44:00,218.3,218.34,218.25,218.25,22935
12:45:00,218.2344,218.46,218.2344,218.46,21880
12:46:00,218.43,218.6,218.43,218.55,21763
12:47:00,218.545,218.64,218.22,218.22,43188
12:48:00,218.22,218.37,218.22,218.3045,24794
12:49:00,218.33,218.5,218.28,218.47,37118
12:50:00,218.46,218.61,218.41,218.61,21526
12:51:00,218.57,218.57,218.505,218.57,19681
12:52:00,218.6,218.6873,218.58,218.6,32640
12:53:00,218.575,218.89,218.575,218.69,69834
12:54:00,218.76,218.76,218.6,218.6,26258
12:55:00,218.5869,218.69,218.5869,218.66,20429
12:56:00,218.66,218.77,218.66,218.7596,17300
12:57:00,218.78,218.86,218.7699,218.8099,19460
12:58:00,218.85,218.8501,218.55,218.55,35205
12:59:00,218.59,218.66,218.5558,218.66,23990
13:00:00,218.65,218.675,218.608,218.67,18684
13:01:00,218.69,218.7707,218.69,218.72,29109
13:02:00,218.71,218.76,218.59,218.76,34876
13:03:00,218.73,218.79,218.64,218.79,32748
13:04:00,218.81,218.84,218.77,218.82,26755
13:05:00,218.85,219.11,218.84,219.04,89005
13:06:00,219.0799,219.0799,218.92,219,32481
13:07:00,219,219.07,219,219.06,38754
13:08:00,219.08,219.09,218.95,218.98,44538
13:09:00,219.03,219.05,218.9146,219.02,38016
13:10:00,219.0175,219.03,218.88,218.88,35369
13:11:00,218.87,218.9,218.691,218.691,40937
13:12:00,218.74,218.77,218.56,218.56,49735
13:13:00,218.59,218.7985,218.5626,218.79,36193
13:14:00,218.82,218.82,218.72,218.73,38314
13:15:00,218.73,218.7665,218.67,218.67,27964
13:16:00,218.63,218.68,218.54,218.68,35882
13:17:00,218.7,218.74,218.6,218.6799,29433
13:18:00,218.635,218.75,218.625,218.71,38870
13:19:00,218.73,218.73,218.54,218.55,29296
13:20:00,218.57,218.5978,218.39,218.39,45451
13:21:00,218.41,218.41,218.049,218.1,75556
13:22:00,218.0635,218.09,217.96,218.04,52504
13:23:00,218.04,218.07,217.97,217.98,33799
13:24:00,217.97,217.9786,217.83,217.93,78086
13:25:00,217.89,217.94,217.8,217.8,47109
13:26:00,217.86,217.9096,217.8499,217.85,38275
13:27:00,217.85,217.97,217.84,217.97,39006
13:28:00,217.9413,217.9413,217.66,217.72,93980
13:29:00,217.81,217.97,217.81,217.9499,36881
13:30:00,217.9854,217.9854,217.9,217.9121,22199
13:31:00,217.89,217.89,217.7573,217.8636,36519
13:32:00,217.84,218.21,217.83,218.2,50240
13:33:00,218.19,218.38,218.18,218.38,59009
13:34:00,218.41,218.48,218.37,218.4531,44489
13:35:00,218.5,218.73,218.5,218.59,47577
13:36:00,218.64,218.67,218.56,218.67,19256
13:37:00,218.66,218.7054,218.51,218.52,33897
13:38:00,218.51,218.6,218.4,218.4,38031
13:39:00,218.455,218.67,218.455,218.665,46693
13:40:00,218.69,218.75,218.62,218.705,33273
13:41:00,218.67,218.74,218.67,218.73,32558
13:42:00,218.76,218.94,218.76,218.92,60448
13:43:00,218.9,219.2129,218.8531,219.08,92350
13:44:00,219.1,219.11,218.66,218.77,79031
13:45:00,218.73,218.8951,218.73,218.7838,34030
13:46:00,218.8,219,218.77,218.95,38802
