,Open,High,Low,Close,Volume
2018-05-31,1067.56,1097.19,1067.56,1084.99,3088305
2018-06-01,1099.35,1120.0,1098.5,1119.5,2421598
2018-06-04,1122.33,1141.89,1122.01,1139.29,1889579
2018-06-05,1140.99,1145.74,1133.19,1139.66,1677973
2018-06-06,1142.17,1143.0,1125.74,1136.88,1698247
2018-06-07,1131.32,1135.82,1116.52,1123.86,1520020
2018-06-08,1118.18,1126.67,1112.15,1120.87,1290845
2018-06-11,1118.6,1137.26,1118.6,1129.99,1079294
2018-06-12,1131.07,1139.79,1130.73,1139.32,912018
2018-06-13,1141.12,1146.5,1133.38,1134.79,1506407
2018-06-14,1143.85,1155.47,1140.64,1152.12,1350868
2018-06-15,1148.86,1153.42,1143.48,1152.26,2122476
2018-06-18,1143.65,1174.31,1143.59,1173.46,1413692
2018-06-19,1158.5,1171.27,1154.01,1168.06,1621018
2018-06-20,1175.31,1186.29,1169.16,1169.84,1648536
2018-06-21,1174.85,1177.3,1152.23,1157.66,1238118
2018-06-22,1159.14,1162.5,1147.26,1155.48,1310967
2018-06-25,1143.6,1143.91,1112.78,1124.81,2157310
2018-06-26,1128.0,1133.21,1116.66,1118.46,1563225
2018-06-27,1121.34,1131.84,1103.62,1103.98,1293892
2018-06-28,1102.09,1122.31,1096.01,1114.22,1072438
2018-06-29,1120.0,1128.23,1115.0,1115.65,1315121
2018-07-02,1099.0,1128.0,1093.8,1127.46,1217311
2018-07-03,1135.82,1135.82,1100.02,1102.89,679034
2018-07-05,1110.53,1127.5,1108.48,1124.27,1066685
2018-07-06,1123.58,1140.93,1120.74,1140.17,996079
2018-07-09,1148.48,1154.67,1143.42,1154.05,908969
2018-07-10,1156.98,1159.59,1149.59,1152.84,798412
2018-07-11,1144.59,1164.29,1141.0,1153.9,1119993
2018-07-12,1159.89,1184.41,1155.93,1183.48,1251884
2018-07-13,1185.0,1195.42,1180.0,1188.82,1222072
2018-07-16,1189.39,1191.0,1179.28,1183.86,1055662
2018-07-17,1172.22,1203.04,1170.6,1198.8,1610353
2018-07-18,1196.56,1204.5,1190.34,1195.88,1393606
2018-07-19,1191.0,1200.0,1183.32,1186.96,1276667
2018-07-20,1186.96,1196.86,1184.22,1184.91,1248400
2018-07-23,1181.01,1206.49,1181.0,1205.5,2619234
2018-07-24,1262.59,1266.0,1235.56,1248.08,3318204
2018-07-25,1239.13,1265.86,1239.13,1263.7,2139999
2018-07-26,1251.0,1269.77,1249.02,1268.33,2405638
2018-07-27,1271.0,1273.89,1231.0,1238.5,2130558
2018-07-30,1228.01,1234.92,1211.47,1219.74,1849904
2018-07-31,1220.01,1227.59,1205.6,1217.26,1644722
2018-08-01,1228.0,1233.47,1210.21,1220.01,1567264
2018-08-02,1205.9,1229.88,1204.79,1226.15,1531299
2018-08-03,1229.62,1230.0,1215.06,1223.71,1089896
2018-08-06,1225.0,1226.09,1215.8,1224.77,1081723
